Sample	mappedNetworkCwR.count_Hong_Kong_to_New_York	mappedNetworkCwR.count_Hong_Kong_to_New_Zealand	mappedNetworkCwR.count_New_York_to_Hong_Kong	mappedNetworkCwR.count_New_York_to_New_Zealand	mappedNetworkCwR.count_New_Zealand_to_Hong_Kong	mappedNetworkCwR.count_New_Zealand_to_New_York
0	2	5	5	1	4	2
1000	2	1	2	3	0	1
2000	3	0	1	0	4	0
3000	1	2	2	3	2	0
4000	2	1	2	4	2	1
5000	2	2	1	3	1	1
6000	1	0	3	4	0	1
7000	1	0	3	4	0	1
8000	0	1	3	2	0	1
9000	1	0	2	2	1	2
10000	2	1	4	2	0	1
11000	3	1	2	2	0	1
12000	1	0	2	5	1	2
13000	1	0	2	3	0	3
14000	2	1	0	2	1	2
15000	4	0	1	3	0	1
16000	0	0	1	1	1	3
17000	0	0	0	0	2	3
18000	1	0	0	2	2	2
19000	4	0	2	2	0	0
20000	1	0	3	3	0	1
21000	0	0	2	4	0	2
22000	3	0	5	4	0	4
23000	0	0	2	4	0	1
24000	1	1	0	0	2	3
25000	0	0	1	4	2	0
26000	2	1	1	2	2	0
27000	0	0	1	2	1	2
28000	2	4	2	0	2	0
29000	0	0	2	3	0	1
30000	1	0	0	0	3	2
31000	3	1	3	1	0	0
32000	0	0	2	2	0	0
33000	3	0	2	2	0	0
34000	1	2	1	0	0	0
35000	1	0	3	5	1	0
36000	2	2	1	3	2	1
37000	0	0	2	5	1	2
38000	3	0	4	2	0	0
39000	3	1	0	3	2	0
40000	1	1	1	6	3	2
41000	1	2	2	5	3	1
42000	0	0	2	3	0	1
43000	2	0	4	2	0	0
44000	3	1	3	2	3	0
45000	1	0	2	6	0	2
46000	2	2	2	4	3	1
47000	2	3	0	0	1	0
48000	2	2	0	0	0	0
49000	2	2	7	1	0	0
50000	1	3	8	0	1	0
51000	4	4	5	2	5	0
52000	2	0	0	0	5	1
53000	0	5	0	0	2	2
54000	1	0	1	2	2	1
55000	2	2	3	0	0	0
56000	0	0	0	1	3	3
57000	3	0	2	2	0	0
58000	1	1	0	0	3	2
59000	0	0	1	1	2	2
60000	0	0	1	0	2	2
61000	2	0	3	0	2	3
62000	0	0	1	1	2	3
63000	0	0	0	0	3	3
64000	0	1	1	1	3	1
65000	0	0	0	2	3	2
66000	0	2	0	0	2	3
67000	0	0	0	1	3	3
68000	0	0	1	4	2	1
69000	1	0	1	2	2	1
70000	3	1	2	2	1	1
71000	0	1	0	0	3	2
72000	0	0	0	0	3	2
73000	0	0	0	0	3	2
74000	0	0	0	0	3	2
75000	0	0	0	0	5	2
76000	0	0	0	0	3	2
77000	0	0	0	0	3	2
78000	1	0	1	0	2	2
79000	2	0	0	1	4	1
80000	2	0	1	2	1	1
81000	1	0	0	0	4	1
82000	0	0	0	1	3	3
83000	0	0	0	2	2	4
84000	2	0	0	2	2	2
85000	2	3	0	0	2	0
86000	1	1	1	2	2	0
87000	0	0	0	6	4	0
88000	1	0	1	4	4	0
89000	1	0	0	6	4	0
90000	0	0	2	3	0	1
91000	3	1	0	4	5	0
92000	0	0	0	5	2	2
93000	0	1	2	2	1	0
94000	1	0	0	5	4	3
95000	3	0	0	3	1	0
96000	2	0	1	4	1	1
97000	2	0	2	1	2	3
98000	0	0	3	2	0	3
99000	1	1	4	0	0	4
100000	1	1	3	0	0	4
101000	0	0	1	0	1	3
102000	0	2	3	2	0	2
103000	0	1	3	1	0	0
104000	0	1	2	0	0	4
105000	0	5	5	3	2	3
106000	0	5	8	0	1	3
107000	1	3	3	1	0	1
108000	2	2	8	0	0	0
109000	0	2	5	1	0	1
110000	0	2	6	0	0	0
111000	0	3	5	1	1	4
112000	0	2	3	0	0	0
113000	1	2	7	0	0	0
114000	0	2	6	0	0	0
115000	1	2	7	0	0	0
116000	0	3	6	0	0	2
117000	0	4	7	0	0	2
118000	0	3	6	0	0	1
119000	0	4	5	0	1	1
120000	1	2	0	0	4	1
121000	0	0	2	1	1	3
122000	0	2	0	0	4	2
123000	0	0	1	3	1	0
124000	0	3	0	1	4	3
125000	1	1	0	0	2	1
126000	1	3	4	2	2	0
127000	1	2	1	2	3	1
128000	2	3	0	0	1	0
129000	2	2	0	0	0	0
130000	0	1	0	4	5	0
131000	2	0	0	3	6	0
132000	0	0	1	4	1	0
133000	2	2	0	2	2	2
134000	1	2	1	0	4	2
135000	0	1	1	2	2	5
136000	1	0	0	0	3	1
137000	2	0	1	1	1	3
138000	0	0	0	1	2	3
139000	0	0	0	1	2	3
140000	0	2	0	0	3	3
141000	0	0	1	0	1	3
142000	1	0	2	3	1	2
143000	1	1	4	1	0	0
144000	0	0	1	1	1	4
145000	2	2	0	0	0	0
146000	4	1	1	1	0	0
147000	3	1	0	1	0	0
148000	2	2	0	0	0	0
149000	1	1	1	0	2	2
150000	0	0	0	0	2	2
151000	1	2	0	3	3	4
152000	2	0	0	0	3	1
153000	2	1	3	2	1	5
154000	1	4	2	2	0	4
155000	2	3	1	2	0	3
156000	0	0	2	3	0	7
157000	0	0	2	1	0	6
158000	1	0	2	0	1	4
159000	1	0	3	2	0	6
160000	6	0	0	2	0	0
161000	4	0	1	5	2	4
162000	1	0	2	0	1	4
